Module,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_maxSpeed,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_minSpeed,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_startTime,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_stopTime,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalDistance,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalTime
RSUExampleScenario.node[68].veinsmobility,19.5745,0,27020.5,27159,369.439,1411.2,138
RSUExampleScenario.node[303].veinsmobility,18.8103,0,27080.5,27159,219.779,757.258,78
RSUExampleScenario.node[363].veinsmobility,18.702,1.47,27098,27160,203.484,765.311,61.5
RSUExampleScenario.node[35].veinsmobility,19.6481,0,27013,27160.5,418.882,1300.13,147
RSUExampleScenario.node[293].veinsmobility,18.0694,0,27079,27160.5,210.209,777.155,81
RSUExampleScenario.node[161].veinsmobility,15.65,0,27044.5,27161,280.227,689.282,116
RSUExampleScenario.node[327].veinsmobility,19.689,0,27090,27161,212.334,779.366,70.5
RSUExampleScenario.node[296].veinsmobility,18.9016,0,27079.5,27161,200.865,767.923,81
RSUExampleScenario.node[317].veinsmobility,18.789,0,27085.5,27161.5,204.442,763.938,75.5
RSUExampleScenario.node[310].veinsmobility,16.25,0,27084,27161.5,221.666,894.011,77
RSUExampleScenario.node[388].veinsmobility,19.4006,4.19534,27104,27162,198.574,775.591,57.5
RSUExampleScenario.node[321].veinsmobility,19.0821,0,27087.5,27162.5,200.235,779.652,74.5
RSUExampleScenario.node[205].veinsmobility,16.25,0,27055,27163.5,240.639,865.542,108
RSUExampleScenario.node[413].veinsmobility,19.25,5.4,27109,27164.5,183.717,772.999,55
RSUExampleScenario.node[323].veinsmobility,15.3958,0,27088,27164.5,213.267,871.163,76
RSUExampleScenario.node[99].veinsmobility,18.35,0,27028,27165,363.37,1316.44,136.5
RSUExampleScenario.node[381].veinsmobility,19.25,1.7469,27101.5,27165,201.143,777.357,63
RSUExampleScenario.node[407].veinsmobility,19.6235,4.69786,27108,27165.5,195.931,765.092,57
RSUExampleScenario.node[77].veinsmobility,18.15,0,27023,27166,378.787,1299.72,142.5
RSUExampleScenario.node[335].veinsmobility,15.495,0,27091,27166.5,213.216,879.541,75
RSUExampleScenario.node[442].veinsmobility,19.25,5.4,27117.5,27167,169.76,765.588,49
RSUExampleScenario.node[124].veinsmobility,18,0,27035,27167.5,360.145,1301.29,132
RSUExampleScenario.node[546].veinsmobility,15.65,6.9,27147,27168.5,75.5002,278.178,21
RSUExampleScenario.node[232].veinsmobility,16.25,0,27062,27168.5,229.512,692.689,106
RSUExampleScenario.node[194].veinsmobility,16.4133,0,27052.5,27168.5,249.031,752.739,115.5
RSUExampleScenario.node[130].veinsmobility,18.15,0,27036.5,27168.5,364.416,1294.47,131.5
RSUExampleScenario.node[231].veinsmobility,14.9368,0,27062,27168.5,234.456,859.642,106
RSUExampleScenario.node[360].veinsmobility,15.65,0,27097.5,27169,191.584,747.544,71
RSUExampleScenario.node[136].veinsmobility,18.1871,0,27037.5,27169,358.609,1302.18,131
RSUExampleScenario.node[109].veinsmobility,16.3595,0,27032,27169.5,323.729,1095.29,137
RSUExampleScenario.node[425].veinsmobility,18.0185,4.85534,27112,27169.5,178.415,769.164,57
RSUExampleScenario.node[172].veinsmobility,15.0988,0,27046.5,27170,272.853,946.456,123
RSUExampleScenario.node[134].veinsmobility,18.2555,0,27037,27170.5,368.12,1309.29,133
RSUExampleScenario.node[337].veinsmobility,16.0952,1.53542,27091.5,27171,204.597,869.38,79
RSUExampleScenario.node[127].veinsmobility,15.8627,0,27036,27171.5,272.637,756.321,135
RSUExampleScenario.node[353].veinsmobility,15.6427,0,27095.5,27171.5,219.486,902.043,75.5
RSUExampleScenario.node[133].veinsmobility,15.9195,0,27037,27172.5,307.509,1100.6,135
RSUExampleScenario.node[390].veinsmobility,16.25,0,27104.5,27172.5,184.494,594.74,67.5
RSUExampleScenario.node[549].veinsmobility,19.4,6.04395,27148,27173,88.2609,334.645,24.5
RSUExampleScenario.node[111].veinsmobility,19.25,0,27032.5,27173,324,969.677,140
RSUExampleScenario.node[471].veinsmobility,18.5139,7.1,27123.5,27173,169.819,779.052,49
RSUExampleScenario.node[350].veinsmobility,15,0,27095,27173.5,185.143,694.398,78
RSUExampleScenario.node[264].veinsmobility,15.8677,0,27072.5,27173.5,240.471,755.262,100.5
RSUExampleScenario.node[466].veinsmobility,16.75,6.9,27121.5,27173.5,159.051,771.995,51.5
RSUExampleScenario.node[412].veinsmobility,16.25,0,27109,27174.5,183.005,696.552,65
RSUExampleScenario.node[101].veinsmobility,16.25,0,27028.5,27174.5,343.879,1144.35,145.5
RSUExampleScenario.node[315].veinsmobility,16.5,0,27085,27174.5,230.833,606.987,89
RSUExampleScenario.node[396].veinsmobility,15,3.5,27105.5,27174.5,201.114,864.28,68.5
RSUExampleScenario.node[324].veinsmobility,15.2223,0,27088.5,27174.5,208.662,860.433,85.5
RSUExampleScenario.node[367].veinsmobility,15.65,0,27099,27175,193.341,750.946,75.5
RSUExampleScenario.node[37].veinsmobility,16.2885,0,27013.5,27175,430.671,1506.03,161
RSUExampleScenario.node[610].veinsmobility,14.4,6.9,27165,27175.5,38.1296,107.727,10
RSUExampleScenario.node[404].veinsmobility,15.65,4.89458,27107.5,27176.5,191.317,750.165,68.5
RSUExampleScenario.node[4].veinsmobility,16.25,0,27002,27176.5,375.677,1133.4,174
RSUExampleScenario.node[391].veinsmobility,18.391,3.28539,27105,27178.5,224.004,858.595,73
RSUExampleScenario.node[147].veinsmobility,18,0,27041.5,27178.5,298.77,972.093,136.5
RSUExampleScenario.node[428].veinsmobility,14.7316,5.40332,27113.5,27179,173.909,764.814,65
RSUExampleScenario.node[160].veinsmobility,15.3757,0,27044.5,27179,304.547,1127.67,134
RSUExampleScenario.node[483].veinsmobility,15,3.01645,27128.5,27179,137.782,594.979,50
RSUExampleScenario.node[178].veinsmobility,19.25,0,27048.5,27179.5,311.436,973.986,130.5
RSUExampleScenario.node[411].veinsmobility,15.0449,1.04488,27108.5,27179.5,215.36,849.116,70.5
RSUExampleScenario.node[260].veinsmobility,19.25,0,27071,27180,281.059,975.056,108.5
RSUExampleScenario.node[423].veinsmobility,19.1811,2.60796,27112,27180.5,226.576,858.7,68
RSUExampleScenario.node[447].veinsmobility,15.5226,4.51309,27118.5,27180.5,167.459,753.655,61.5
RSUExampleScenario.node[226].veinsmobility,17.5,0,27060.5,27181,294.344,873.213,120
RSUExampleScenario.node[399].veinsmobility,15.3486,0,27106,27181,223.626,893.217,74.5
RSUExampleScenario.node[139].veinsmobility,15.6276,0,27038.5,27181.5,326.434,1128.32,142.5
RSUExampleScenario.node[386].veinsmobility,19.9738,1.54069,27104,27182.5,267.009,973.395,78
RSUExampleScenario.node[418].veinsmobility,15.5384,0,27110.5,27182.5,215.508,899.01,71.5
