Module,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_maxSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_minSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_startTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_stopTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalDistance,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalTime
ProvidenciaExampleScenario.node[104].veinsmobility,17.4495,0,27017,27204,435.056,1392.63,186.5
ProvidenciaExampleScenario.node[105].veinsmobility,15.1138,5.5,27017,27081.5,186.934,890.992,64
ProvidenciaExampleScenario.node[106].veinsmobility,16.2938,0,27017.5,27140.5,303.292,854.203,122.5
ProvidenciaExampleScenario.node[107].veinsmobility,19,0,27017.5,27095.5,225.107,679.416,77.5
ProvidenciaExampleScenario.node[108].veinsmobility,15.569,4.58424,27017.5,27084,208.393,885.93,66
ProvidenciaExampleScenario.node[109].veinsmobility,21.6265,0,27017.5,27139.5,328.12,917.231,121.5
ProvidenciaExampleScenario.node[110].veinsmobility,18.5337,0,27018,27130,289.05,1003.11,111.5
ProvidenciaExampleScenario.node[111].veinsmobility,22.25,0,27018,27151,357.271,1309.74,132.5
ProvidenciaExampleScenario.node[112].veinsmobility,17.5575,0,27018,27135,276.895,976.005,116.5
ProvidenciaExampleScenario.node[113].veinsmobility,19.25,1.7041,27018,27086.5,222.968,777.404,68
ProvidenciaExampleScenario.node[114].veinsmobility,21.1825,0,27018.5,27120.5,311.844,1079.53,101.5
ProvidenciaExampleScenario.node[115].veinsmobility,14.7593,5.54904,27018.5,27080,163.717,774.365,61
ProvidenciaExampleScenario.node[116].veinsmobility,20.2981,0,27018.5,27145.5,334.958,908.863,126.5
ProvidenciaExampleScenario.node[117].veinsmobility,16.25,0,27019,27126,251.11,1045.95,106.5
ProvidenciaExampleScenario.node[118].veinsmobility,21.4959,0,27019,27153,359.559,1289.49,133.5
ProvidenciaExampleScenario.node[119].veinsmobility,19.4,6.02642,27019,27044,87.8806,334.504,24.5
ProvidenciaExampleScenario.node[120].veinsmobility,22.6821,0,27019.5,27147.5,456.607,1230,127.5
ProvidenciaExampleScenario.node[121].veinsmobility,21.5,0,27020,27115,291.946,1061.13,94.5
ProvidenciaExampleScenario.node[122].veinsmobility,18.5563,0,27020,27135,302.29,1126.74,114.5
ProvidenciaExampleScenario.node[123].veinsmobility,15.85,0,27020.5,27090.5,182.674,651.139,69.5
ProvidenciaExampleScenario.node[124].veinsmobility,16,0,27020.5,27556.5,958.745,2627.47,535.5
ProvidenciaExampleScenario.node[125].veinsmobility,22.5,6.9,27020.5,27050.5,148.595,492.051,29.5
ProvidenciaExampleScenario.node[126].veinsmobility,21.3297,-2.72736,27020.5,27257,565.28,1412.02,236
ProvidenciaExampleScenario.node[127].veinsmobility,18.8222,1.70496,27020.5,27088,223.778,855.449,67
ProvidenciaExampleScenario.node[128].veinsmobility,15.4383,0,27021,27091,177.178,669.96,69.5
ProvidenciaExampleScenario.node[129].veinsmobility,16.25,0,27021,27207,445.314,1322.99,185.5
ProvidenciaExampleScenario.node[130].veinsmobility,18.2915,6.9,27021,27069,172.483,769.526,47.5
ProvidenciaExampleScenario.node[131].veinsmobility,19.7602,0,27021,27170.5,404.926,1302.52,149
ProvidenciaExampleScenario.node[132].veinsmobility,17.3804,0,27021,27222.5,432.081,1473.75,201
ProvidenciaExampleScenario.node[133].veinsmobility,15.85,0,27021.5,27225.5,426.882,1363.92,203.5
ProvidenciaExampleScenario.node[134].veinsmobility,15.5,5.5,27021.5,27060.5,113.995,494.241,38.5
ProvidenciaExampleScenario.node[135].veinsmobility,17.9832,0,27021.5,27135.5,261.322,997.607,113.5
ProvidenciaExampleScenario.node[136].veinsmobility,16.1689,0,27021.5,27208.5,447.878,1755.68,186.5
ProvidenciaExampleScenario.node[137].veinsmobility,21.25,0,27021.5,27316.5,555.344,1336.81,294.5
ProvidenciaExampleScenario.node[138].veinsmobility,19.9053,0,27022,27187,317.416,687.352,164.5
ProvidenciaExampleScenario.node[139].veinsmobility,15.4807,0,27022,27132.5,269.34,1055.15,110
