module,max_speed,min_speed,start_time,stop_time,total_co2,total_dist,total_time,arrived,rcvd_warnings,sent_warnings,mean_speed,std_speed
node[2128],15.8401,0.0,27315.0,27900.0,819.4910000000001,1285.72,585.0,False,51,0,2.190791992820513,3.5730536699498927
node[2129],17.9643,-0.293835,27315.0,27490.0,376.496,1062.45,174.5,True,35,0,6.096884210028652,5.587606844689877
node[212],15.6909,1.8707200000000002,27032.5,27096.0,172.359,642.7090000000001,63.0,True,2,0,10.233003412698412,3.9336285145021335
node[2130],17.0641,-2.16722,27315.0,27422.0,236.715,700.323,106.5,True,21,0,6.5393855352112675,5.102952897437228
node[2131],18.875999999999998,0.0,27315.0,27413.0,235.36900000000003,752.567,97.5,True,6,0,7.749345866666667,7.325831513244835
node[2132],18.8591,0.0,27315.0,27503.5,372.23699999999997,925.675,188.0,True,1,0,4.891014852127659,5.967738967652463
node[2133],15.4807,1.08933,27315.5,27388.0,176.169,622.311,72.0,True,4,0,8.679104722222222,4.5297429010762045
node[2134],15.4764,-1.8405599999999998,27316.0,27900.0,818.883,995.35,584.0,False,113,0,1.6959710426369863,3.215907143380447
node[2135],14.6488,0.0,27316.5,27685.0,536.1669999999999,1035.1,368.0,True,56,0,2.7958741782608696,4.321799886760536
node[2136],15.2238,0.0,27316.5,27510.5,382.955,1060.06,193.5,True,28,0,5.459133522739019,4.721795702503832
node[2137],15.7064,0.0,27316.5,27413.5,160.10299999999998,326.067,96.5,True,19,0,3.2947103917098444,3.847481231514855
node[2138],16.7787,0.0,27316.5,27533.5,439.661,1336.5,216.5,True,37,0,6.1598191284064665,6.39738736833788
node[2139],15.0,0.0,27317.0,27451.0,248.15900000000002,657.217,133.5,True,3,0,4.923341672659175,4.592605481392352
node[213],15.0,0.0,27032.5,27153.5,252.079,838.956,120.5,True,15,0,6.949299609958506,6.422561489743605
node[2140],15.9476,0.0,27317.0,27414.5,213.097,689.227,97.0,True,20,0,7.129750128865981,4.46608134444229
node[2141],18.5527,0.0,27317.0,27567.5,485.171,1163.52,250.0,True,15,0,4.5803997538,5.755953830436909
node[2142],15.8202,0.0,27317.5,27496.0,376.296,1045.37,178.0,True,27,0,5.859165019662922,4.744748354334997
node[2143],19.25,0.0,27317.5,27423.5,241.13400000000001,785.581,105.5,True,14,0,7.476036308530806,7.418658160872162
node[2144],18.9061,0.0,27318.0,27571.5,421.798,680.775,253.0,True,2,0,2.6822236399209487,4.38645041394377
node[2145],15.481,0.0,27318.0,27428.0,229.606,740.937,109.5,True,19,0,6.715047376712329,5.98169708155982
node[2146],15.9646,0.0,27318.0,27457.5,255.326,617.78,139.0,True,2,0,4.456735038129496,4.917771917778606
node[2147],15.7553,0.0,27318.0,27504.5,363.911,1021.99,186.0,True,29,0,5.500243879569893,4.822383745299807
node[2148],13.4297,-0.27533,27318.5,27900.0,705.445,902.192,581.5,False,106,0,1.539215904127257,3.3507173188792296
node[2149],15.7341,0.0,27318.5,27900.0,865.1310000000001,1481.42,581.5,False,77,0,2.517327443782459,3.7003085800737514
node[214],15.86,0.0,27032.5,27162.5,251.946,693.938,129.5,True,17,0,5.351478293050192,5.834193960241285
node[2150],16.6161,0.22958699999999999,27318.5,27389.0,181.833,622.019,70.0,True,4,0,8.917619478571428,4.861881720434052
node[2151],15.0988,0.0,27318.5,27419.0,204.083,688.2669999999999,100.0,True,20,0,6.8964036845,4.344161544808651
node[2152],15.0,3.19949,27318.5,27427.0,303.452,1081.92,108.0,True,0,0,10.02386810185185,3.6342672742888738
node[2153],16.0,0.0,27319.0,27464.0,279.651,752.2189999999999,144.5,True,0,0,5.194377468858131,5.266832472221591
node[2154],15.0245,0.0,27319.0,27432.0,272.57099999999997,893.416,112.5,True,0,0,7.370886572444445,4.6998794447421455
node[2155],15.2966,-0.865417,27319.5,27900.0,771.3810000000001,1091.76,580.5,False,9,0,1.8751475971576226,3.60378333438909
node[2156],16.4676,0.0,27319.5,27455.5,246.74400000000003,632.109,135.5,True,3,0,4.680171846125462,4.946777109463612
node[2157],16.391,0.0,27319.5,27596.0,590.565,1540.49,276.0,True,0,0,5.310370194927536,5.182578402063236
node[2158],16.25,0.0,27320.0,27900.0,986.196,1880.57,580.0,False,78,0,3.2222054619568965,4.046246980874906
node[2159],16.1173,0.0,27320.5,27425.0,205.425,499.545,104.0,True,0,0,4.785332461538461,5.151490404305851
node[215],19.9143,6.9,27032.5,27078.5,189.882,770.7869999999999,45.5,True,0,0,17.005736263736267,2.731403407388325
node[2160],15.0,0.0,27320.5,27862.0,825.102,1612.42,541.0,True,99,0,2.975513741866913,3.9268381481227586
node[2161],16.3703,0.0,27320.5,27670.5,612.128,1319.87,349.5,True,61,0,3.742891021101574,4.53088315020573
node[2162],18.4573,0.0,27320.5,27417.5,220.475,776.61,96.5,True,12,0,8.080127707253887,7.29318422578508
node[2163],15.2787,0.0,27321.0,27900.0,701.83,852.0169999999999,579.0,False,99,0,1.4515896543177895,3.3375930310060076
node[2164],15.4383,-1.99568,27321.0,27608.5,576.226,1585.41,287.0,True,42,0,5.517438912263414,5.261896408325888
node[2165],16.25,0.0,27321.0,27415.5,216.975,694.296,94.0,True,19,0,7.420584893617023,4.391862481946088
node[2166],18.9643,0.0,27321.0,27532.0,499.536,1558.91,210.5,True,9,0,7.382414080047507,6.388592378667854
node[2167],15.624,-0.760089,27321.5,27900.0,733.0369999999999,770.337,578.5,False,8,0,1.3280942874675887,2.8961625352594185
node[2168],15.5,0.0,27321.5,27434.0,214.546,484.941,112.0,True,0,0,4.314379678125,4.960015793495055
node[2169],21.4196,0.0,27321.5,27484.0,382.39,1069.46,162.0,True,32,0,6.545164169135803,5.772326711871525
node[216],20.9246,0.0,27033.0,27238.0,406.776,1074.23,204.5,True,32,0,5.2604612638141806,6.597703977951224
node[2170],16.6217,0.0,27322.0,27745.0,620.085,899.0880000000001,422.5,True,3,0,2.126175964142012,3.8445681974443144
node[2171],19.2099,0.0,27322.0,27505.0,386.085,906.5110000000001,182.5,True,2,0,4.939075129863014,6.0995833992662885
node[2172],21.4516,0.0,27322.5,27480.0,356.976,1070.73,157.0,True,32,0,6.83871930955414,6.090331728391937
node[2173],14.5,0.0,27322.5,27691.5,547.368,1027.48,368.5,True,57,0,2.75614904165536,4.015214123168382
node[2174],15.8555,0.0,27322.5,27682.5,553.313,1064.9,359.5,True,61,0,2.9483358774687063,4.589421536633097
node[2175],18.4768,0.0,27322.5,27418.5,228.798,778.815,95.5,True,12,0,8.17783300104712,7.3670723075996944
node[2176],21.8741,0.0,27322.5,27605.5,633.754,1671.87,282.5,True,22,0,5.892180257699116,5.852174242450135
node[2177],15.2991,0.0,27322.5,27438.5,267.147,909.544,115.5,True,0,0,7.320653758874458,4.649730831504967
node[2178],13.8335,0.0,27323.0,27782.5,593.026,667.743,459.0,True,0,0,1.4553789306535947,2.422805839773685
node[2179],16.75,0.0,27323.0,27430.5,207.753,505.358,107.0,True,0,0,4.694534957476636,4.898444120701078
node[217],15.9753,0.956758,27033.0,27094.5,171.457,636.741,61.0,True,3,0,10.473160721311476,4.426741073351016
node[2180],16.6898,0.0,27323.0,27663.5,596.691,1361.98,340.0,True,43,0,3.9760635160294115,5.740805437371244
node[2181],15.1926,0.0,27323.0,27900.0,738.701,860.783,577.0,False,102,0,1.4886411916444886,2.9465053839296127
node[2182],19.8795,0.0,27323.0,27900.0,832.944,1273.03,577.0,False,81,0,2.1927996645580587,4.054662416725158
node[2183],15.6778,0.0,27323.5,27777.0,742.426,1587.56,453.0,True,82,0,3.5055224805739518,4.143526404403412
node[2184],19.25,0.0,27323.5,27620.0,593.534,1448.21,296.0,True,25,0,4.886949913344594,5.700847505540017
node[2185],17.7599,-0.94524,27323.5,27619.0,494.23800000000006,1122.32,295.0,True,0,0,3.747447286440678,5.133195967651608
node[2186],15.0,0.0,27324.0,27752.5,602.174,904.6110000000001,428.0,True,3,0,2.1084749516355137,3.5627305343161044
node[2187],18.3604,0.0,27324.0,27493.5,369.18800000000005,979.9,169.0,True,34,0,5.818281818934911,6.3437782420923545
