Module;maxSpeed;minSpeed;startTime;stopTime;totalCO2Emission;totalDistance;totalTime
476;17.6366;0;27071;27167.5;213.649;661.605;96
456;19.0232;0;27068;27167.5;236.623;751.917;99
479;18.0435;0;27071;27167.5;227.344;766.972;96
704;22.5;0;27103;27168;179.609;486.447;64.5
252;19.25;0;27038;27168;367.495;1300.96;129.5
576;19.5935;0;27086.5;27168.5;211.427;771.77;81.5
472;19.2762;0;27070;27168.5;246.394;783.393;98
321;19.4;-0.599808;27047.5;27169;350.595;1294.66;121
542;18.6204;0;27080.5;27169.5;234.668;775.355;88.5
402;15.3958;0;27059.5;27170;225.445;697.11;110
349;16.25;0;27052;27170.5;263.187;947.862;118
942;21.25;6.9;27139;27171;136.554;475.693;31.5
360;15.0988;0;27053.5;27171;234.333;747.702;117
592;19.25;0;27088.5;27171;213.251;779.838;82
625;15.585;0;27092.5;27171.5;180.107;694.864;78.5
59;15.65;0;27011.5;27171.5;337.163;1091.75;159.5
550;15.25;0;27081.5;27171.5;220.815;900.504;89.5
229;21;0;27035;27172;346.027;985.013;136.5
583;19.25;0;27087;27172;218.763;789.514;84.5
626;19.2547;0;27092.5;27172;212.95;783.541;79
606;20.7918;0.00112975;27090;27172;227.553;779.908;81.5
33;18.5138;0;27006.5;27172.5;406.848;1420.55;165.5
361;16.1141;0;27053.5;27173;227.909;694.975;119
953;22.1242;6.63125;27141;27173;141.791;482.417;31.5
368;18.5;0;27054.5;27173;283.189;975.45;118
365;18.8898;0;27054.5;27173.5;265.482;863.056;118.5
448;16.25;0;27067;27173.5;232.404;697.75;106
241;17.0438;0;27036.5;27173.5;313.657;1094;136.5
323;18.382;0;27048;27173.5;376.507;1315.3;125
376;18.5591;0;27055.5;27174;300.606;977.552;118
363;16.3792;0;27053.5;27174;265.816;675.231;120
25;17.9163;0;27005;27174;423.017;1316.37;168.5
621;18.9687;0;27092;27174;224.176;785.217;81.5
166;17.0761;0;27025.5;27174.5;325.748;938.896;148.5
562;15.85;0;27084;27174.5;220.739;756.478;90
328;16.7706;0;27048.5;27174.5;277.535;689.623;125.5
686;18;0.408078;27100.5;27174.5;195.971;769.07;73.5
624;16.25;0;27092;27174.5;225.7;906.662;82
1009;16.6082;5.05;27149;27175;84.5499;333.832;25.5
98;19.65;0;27016.5;27175;406.677;1297.83;158
961;21.25;6.71623;27142;27175.5;146.037;485.212;33
518;17.8617;0;27076.5;27175.5;239.319;680.123;98.5
26;16.9;0;27005.5;27175.5;366.291;1128.73;169.5
698;18.9769;0.229408;27102.5;27176;210.579;783.138;73
131;19.2535;0;27021;27176;396.732;1295.87;154.5
596;18.9276;0;27089;27176;218.125;788.583;86.5
703;16.25;0;27103;27176.5;193.099;693.979;73
541;15.9729;0;27080.5;27176.5;239.981;753.192;95.5
675;16.1139;0;27098.5;27176.5;218.374;899.152;77.5
679;19.214;0;27099.5;27177;207.448;765.139;77
600;15.9861;0;27089.5;27177;229.285;843.223;87
422;20.65;0;27062.5;27177.5;312.652;977.595;114.5
449;19.3482;0;27067;27177.5;294.484;978.348;110
142;16.25;0;27022.5;27177.5;358.945;1125.69;154.5
750;19.1569;0;27108.5;27177.5;205.377;765.752;68.5
739;15;0;27107.5;27178;168.307;575.621;70
260;19.25;0;27039;27178;364.564;1294.11;138.5
749;16.25;0;27108.5;27178.5;190.707;690.939;69.5
762;19.25;0;27110.5;27178.5;202.739;775.345;67.5
181;16.25;0;27027.5;27179;285.306;766.617;151
438;19.6592;0;27065;27179;316.628;989.788;113.5
632;15.4807;0;27093.5;27179;209.422;748.702;85
644;17.0375;0;27094.5;27179.5;219.535;753.41;84.5
585;16.4171;0;27087.5;27179.5;260.717;873.205;91.5
695;18;0;27102;27180;200.103;781.657;77.5
464;15.6693;0;27069;27180.5;254.59;755.224;111
772;19.25;0;27112.5;27181;207.253;783.744;68
711;18.8163;0;27104;27181;216.52;779.535;76.5
469;20.25;0;27070;27181.5;289.549;868.536;111
634;16.25;0;27093.5;27181.5;215.346;694.124;87.5
705;15.0563;0;27103;27181.5;208.509;908.027;78
696;16.6492;0;27102;27181.5;229.762;945.856;79
768;19.1337;0;27112;27182.5;207.715;772.224;70
796;19.25;0;27117;27182.5;196.203;766.188;65
828;19.25;0.681083;27121;27183.5;192.824;767.707;62
778;19.0378;0;27113.5;27183.5;208.139;781.602;69.5
966;15.8529;5.5;27143;27184;122.675;490.754;40.5
155;16.3624;0;27024;27184;400.14;1140.29;159.5
495;15.0988;0;27073;27184.5;220.21;694.453;111
809;19.7027;2.49763;27119;27184.5;198.937;782.716;65
736;16.25;0;27107.5;27185;200.222;681.188;77
1066;17.2996;5.02006;27159;27185;86.2873;334.904;25.5
475;16.3403;0;27071;27185;230.801;489.891;113.5
657;16.1839;0;27095.5;27185;246.287;935.122;89
190;15.0912;0;27029;27185.5;280.459;748.577;156
724;15;0;27106;27185.5;198.724;747.255;79
840;18.7289;1.31337;27123;27185.5;201.37;779.549;62
640;15.8606;0;27094;27186.5;208.751;706.074;92
230;16.25;-0.182714;27035;27186.5;362.494;1149.66;151
138;19.9053;0;27022;27187;317.416;687.352;164.5
891;18.75;3.16555;27131.5;27187.5;185.574;659.598;55.5
842;15.65;5.15551;27124;27187.5;182.89;747.11;63
545;15.5;0;27081;27187.5;224.485;482.242;106
852;18.1204;3.83773;27125.5;27187.5;172.979;770.367;61.5
859;18;3.1046;27126.5;27188.5;188.449;775.639;61.5
870;19.3578;2.12909;27128;27188.5;182.409;779.868;60
225;20.4754;0;27034.5;27189.5;314.705;679.882;154.5
652;16.3601;-1.60066;27095.5;27189.5;207.454;491.273;93.5
874;16.25;6.08318;27128.5;27190;177.757;750.836;61
900;18.3877;4.68809;27132;27190;186.306;778.007;57.5
274;15.0958;0;27040.5;27190.5;305.147;893.884;149.5
412;19.25;0;27061;27190.5;382.44;1312.46;129
908;18.1142;4.69592;27134;27190.5;176.253;768.309;56
932;18.6687;4.35112;27137;27191;187.744;744.713;53.5
608;16.25;-2.43091;27090.5;27191.5;217.789;489.566;100.5
916;19.2993;4.79568;27135;27191.5;201.734;776.443;56
937;18.8988;5.73432;27138;27192;184.422;776.272;53.5
298;15.5962;0;27044.5;27192.5;298.055;759.033;147.5
240;20.6021;0;27036.5;27192.5;324.553;685.015;155.5
1201;9.1119;5.6;27178.5;27193;27.8822;112.113;14
757;16.3161;0;27110;27193;193.645;485.97;82.5
414;19.8313;0;27061.5;27193.5;309.567;693.048;131.5
246;15.0911;0;27037;27194;294.602;754.11;156.5
810;16.25;1.70506;27119;27194;221.121;880.79;74.5
746;15.917;0;27108.5;27195;183.946;489.633;86
285;20.8486;0;27042.5;27196;324.332;682.356;153
928;18;4.31265;27136.5;27196;182.217;784.503;59
997;18.531;6.9;27147.5;27196;175.181;770.622;48
801;15.8581;3.02564;27118;27196;212.837;899.475;77.5
826;16.2022;0;27121;27196.5;164.889;488.919;75
383;16.25;0;27056.5;27197.5;278.534;759.595;140.5
735;16.25;0;27107;27197.5;207.753;631.301;90
572;18;0;27086;27198;293.964;970.199;111.5
366;16.25;0;27054.5;27198;333.665;1106.65;143
279;20.3925;0;27041.5;27198;308.295;680.688;156
1031;20.0859;6.9;27152.5;27198.5;189.099;762.958;45.5
665;15.2724;0;27096.5;27199;243.45;780.464;102
865;16.75;0;27127.5;27199;219.775;754.55;71
82;16.25;0;27015;27200;326.917;642.953;184.5
830;15.5;0;27121.5;27200;173.698;486.429;78
1027;18.075;6.9;27151.5;27200;168.312;772.877;48
848;15.6478;0.45311;27125;27201;207.372;755.361;75.5
893;16.3409;6.18188;27131.5;27201;206.299;858.297;69
877;16.0743;0;27129;27202;161.056;488.016;72.5
394;19.0183;0;27058;27202.5;285.647;678.96;144
934;16.0795;0;27137.5;27203.5;158.29;491.581;65.5
104;17.4495;0;27017;27204;436.971;1393.26;186.5
91;16.7769;0;27015.5;27204;437.537;1349.74;188
354;22.0292;0;27052.5;27204;382.449;1096.11;151
677;19.3758;0;27099.5;27204;259.674;674.498;104
65;19.25;0;27012;27204.5;483.195;1561.15;192
66;18.2373;0;27012;27205;522.708;1718.54;192.5
1034;16.3283;-0.98755;27153.5;27205;137.927;485.69;51
167;16.4584;0;27025.5;27205.5;442.628;1289.11;179.5
747;20.3872;0;27108.5;27206;253.599;680.29;97
163;20.1594;0;27025;27206;471.386;1547.94;180.5
129;16.25;0;27021;27206.5;444.051;1322.32;185
231;21.25;0;27035;27206.5;394.273;1100.15;171
927;16.9;0;27136.5;27206.5;165.277;491.941;69.5
46;19.5;0;27008;27206.5;511.428;1555.86;198
342;19.4;0;27050.5;27206.5;444.515;1552.27;155.5
776;15.982;0;27113;27207;239.873;750.614;93.5
487;16.25;0;27072;27207;264.471;685.64;134.5
510;17.5;0;27075.5;27207;275.463;692.728;131
428;15;0;27064;27207.5;271.506;673.955;143
330;18.0185;0;27049;27208;337.676;989.369;158.5
358;16.25;0;27053;27208.5;323.193;891.509;155
544;15.8125;0;27080.5;27208.5;291.626;893.425;127.5
200;18.5014;0;27031;27208.5;435.026;1569.29;177
936;15.2785;0;27138;27209;194.06;761.114;70.5
477;15.4075;-1.68625;27071;27209;255.731;676.307;137.5
516;15.8467;0;27076;27209;262.875;665.915;132.5
377;16.25;0;27056;27209;273.565;635.304;152.5
1040;15.2878;1.38598;27154;27209;136.85;502.707;54.5
839;17.75;0;27123;27209.5;220.349;679.387;86
384;17.9668;0;27057;27209.5;333.065;988.44;152
93;19.4;0;27016;27210;485.312;1574.1;193.5
611;15.7608;0;27090.5;27210.5;234.848;672.792;119.5
1021;15.6411;0;27151;27210.5;136.272;495.205;59
369;18;0;27054.5;27211;330.173;930.036;156
549;15.5;0;27081.5;27211;249.312;655.077;129
486;16.2432;0;27072;27211;275.301;660.851;138.5
390;16.3222;0;27057.5;27212.5;278.986;633.349;154.5
617;15.3643;0;27091;27212.5;233.288;697.686;121
249;17.5;0;27037.5;27212.5;389.663;1150.56;174.5
570;16.514;0;27085.5;27213;251.955;619.093;127
681;18;0;27099.5;27214;277.925;933.42;114
239;15.7269;0;27036.5;27214.5;305.389;652.896;177.5
418;15.8478;0;27062;27214.5;275.817;636.645;152
444;16.25;0;27066.5;27215;273.434;633.833;148
573;16.25;0;27086;27215;250.754;667.183;128.5
136;16.1689;0;27021.5;27215;504.229;1859.4;193
352;16.25;0;27052.5;27215.5;340.357;1036.37;162.5
265;16.25;-0.785814;27039.5;27216;317.949;664.937;176
259;16.4221;-2.36911;27039;27216;347.408;1058.91;176.5
275;16;0;27040.5;27216.5;411.616;1108.12;175.5
517;16.25;0;27076;27216.5;317.295;1148.06;140
440;15.85;0;27065.5;27217;275.03;647.391;151
447;15.9444;0;27067;27217;271.767;657.155;149.5
670;17.1;0;27097.5;27217;270.704;648.253;119
777;15.9775;0;27113.5;27218.5;224.381;619.306;104.5
427;20.2606;0;27063.5;27219;294.692;684.429;155
540;16.027;0;27080.5;27219;256.597;620.346;138
1342;8.39355;3.63613;27199;27219.5;39.7765;108.431;20
470;15.4577;0;27070;27219.5;266.335;617.354;149
804;15.954;0;27118.5;27220.5;224.849;652.106;101.5
96;21.25;0;27016.5;27221;459.266;1440.04;204
917;17.5;0;27135;27221;268.674;897.491;85.5
507;15;0;27075;27221.5;257.585;639.613;146
522;14.8554;0;27077;27221.5;245.893;650.217;144
819;14.15;0;27120;27222;215.936;674.357;101.5
712;15.85;0;27104.5;27222;256.833;641.79;117
132;17.3804;0;27021;27222.5;432.14;1475.22;201
579;19.452;-0.219116;27087;27222.5;290.147;686.836;135
863;16.4144;0;27127;27222.5;269.625;878.626;95
629;15.4637;0;27092.5;27223;251.696;654.221;130
515;15.0404;0;27076;27223.5;264.412;662.456;147
489;16.3914;0;27072.5;27223.5;335.585;1038.5;150.5
1036;16.1546;1.36637;27153.5;27224;209.665;653.462;70
992;16.25;1.86582;27146.5;27224;247.721;896.681;77
67;23.7598;0;27012;27224.5;549.902;1523.43;212
1346;7.56686;0;27199.5;27225;41.4066;110.033;25
569;20.2;0;27085.5;27225;285.778;675.614;139
548;15.3811;0;27081.5;27225;256.919;645.991;143
620;15.5794;0;27092;27225;269.898;663.923;132.5
590;16.25;0;27088.5;27225;283.641;1033.87;136
189;21.25;0;27029;27225.5;490.954;1518.63;196
133;15.85;0;27021.5;27226;421.092;1365.12;204
277;15.3958;0;27041;27226;382.005;1158.71;184.5
1125;16.4801;2.8237;27167.5;27226;169.258;636.934;58
741;15.3892;-1.45706;27108;27226.5;243.585;615.408;118
