Module;maxSpeed;minSpeed;startTime;stopTime;totalCO2Emission;totalDistance;totalTime
410;16.25;0;27108.5;27234.5;323.498;1036.29;125.5
197;22.1304;0;27053;27235.5;425.724;1140.71;182
84;16.25;0;27024;27235.5;435.4;1254.8;211
682;16.25;6.9;27184.5;27235.5;158.902;686.998;50.5
435;15.65;0;27115.5;27235.5;308.615;1069.69;119.5
562;15.65;0;27151.5;27236;151.711;274.026;84
334;21.2231;0;27091;27236;370.78;1066.29;144.5
239;22.2152;0;27064.5;27236.5;380.926;1064.44;171.5
314;21.8522;-0.958163;27085;27237;365.789;1068.28;151.5
228;22.5;0;27061;27237;494.895;1609.48;175.5
275;15.9428;0;27075;27237;356.037;1067.6;161.5
519;16;0;27140.5;27237.5;255.761;864.383;96.5
214;22.0747;0;27057.5;27238;432.695;1069.03;180
513;22.4236;0;27138;27238;301.411;1063.11;99.5
429;16.861;0;27114;27238.5;324.712;1494.34;124
560;16.1705;0;27150.5;27238.5;246.363;894.05;87.5
206;15.85;0;27055;27238.5;387.715;1035.76;183
269;21.4698;0;27074;27239;401.168;1072.07;164.5
579;15.5;0;27155.5;27239.5;229.301;881.161;83.5
581;16.25;0;27157;27240;252.978;868.271;82.5
477;21.8012;0;27126.5;27240.5;342.278;1080.4;113.5
501;16.7496;6.9;27135;27240.5;299.082;1492.17;105
637;16.25;3.5;27171.5;27240.5;213.331;910.548;68.5
173;15.65;0;27047;27241;425.292;1558.25;193.5
370;17.5;0;27099.5;27241;297.705;1056.08;141
698;16.9523;7.1;27188;27241.5;171.615;698.126;53
359;20.9821;0;27097.5;27242;347.794;1058.2;144
702;15.5;6.9;27189.5;27243;152.362;693.259;53
374;15;0;27100;27243.5;320.055;1067.91;143
552;16;0;27148.5;27243.5;251.464;869.517;94.5
170;17.4953;0;27046;27244.5;426.459;1360.37;198
673;16.8747;3.5;27182;27244.5;226.439;861.844;62
392;16.25;0;27105;27244.5;279.946;1055.83;139
289;22.5;0;27078;27245.5;464.624;1325.49;167
631;15.0999;0;27169.5;27245.5;219.982;867.027;75.5
342;19.1014;0;27093;27246.5;317.729;983.552;153
7;16.25;0;27002.5;27247;548.502;1965.38;244
49;21.25;0;27015.5;27247.5;529.407;1294.9;231.5
151;15.65;0;27042.5;27247.5;429.763;1334.88;204.5
318;18;0;27086.5;27247.5;335.803;975.181;160.5
78;16.25;0;27023;27247.5;521.513;1960.06;224
646;14.75;3.5;27174.5;27247.5;215.384;865.583;72.5
100;21.25;0;27028;27248.5;509.1;1290.32;220
365;16.2201;0;27098.5;27248.5;345.895;1205.74;149.5
530;16.25;0;27143.5;27248.5;241.589;591.805;104.5
66;21.9324;0;27019;27249;524.686;1321.81;229.5
2;16;0;27001.5;27249;607.307;1856.25;247
484;20.235;0;27129.5;27249.5;326.897;985.935;119.5
200;22.5;0;27054.5;27250;513.726;1281.28;195
373;18.5;0;27100;27250;324.95;979.738;149.5
582;18.5184;0;27157;27250;228.74;659.341;92.5
600;19.75;0;27162;27250;251.063;782.13;87.5
678;15.2173;1.21733;27183;27250;196.231;865.107;66.5
75;16.25;0;27023;27250.5;586.409;1853.74;227
394;18.5;0;27105.5;27250.5;322.517;992.804;144.5
402;18.35;-3.14417;27107.5;27250.5;343.735;999.583;142.5
406;16.6;0;27108;27251;375.405;1185.81;142.5
96;15.65;0;27027;27251;575.421;1857.35;223.5
338;17.75;0;27091.5;27251.5;381.826;1107.2;159.5
422;17.25;-0.18953;27112;27251.5;303.514;867.861;139
482;19.38;0;27128;27251.5;308.969;996.323;123
333;16.9;0;27091;27252;330.46;874.257;160.5
565;16.25;3.20123;27151.5;27252;290.813;1209.37;100
486;16.25;0;27130.5;27252.5;277.071;796.078;121.5
210;16.4649;0;27056;27252.5;533.964;1746.04;196
475;18.2013;0;27124.5;27252.5;280.8;771.029;127.5
372;21.25;0;27100;27253;405.373;1285.92;152.5
67;23.35;0;27019.5;27253;617.924;1417.4;233
570;16.4566;0;27152.5;27253.5;177.007;281.88;100.5
243;22.5893;0;27065.5;27254;449.117;1288.88;188
458;16.4692;0;27120.5;27254;315.967;871.586;133
368;17.9094;0;27099;27254;327.257;986.735;154.5
427;15.65;0;27113.5;27254;288.3;1032.95;140
395;17.4772;0;27105.5;27254.5;332.575;976.132;148.5
507;18.582;0;27136.5;27254.5;311.95;1011.46;117.5
685;16.036;0;27185;27255;150.52;456.733;69.5
450;22.3645;0;27119.5;27256;389.202;1284.44;136
60;20.65;0;27017;27256.5;544.373;1409.4;239
383;16.0159;0;27102;27256.5;331.532;985.99;154
159;21.25;0;27044;27257;526.725;1398.77;212.5
276;21.6136;0;27075;27257;399.195;911.31;181.5
83;20.65;0;27024;27258.5;534.18;1407.53;234
9;16;0;27003;27258.5;510.554;1545.78;255
17;16;0;27006.5;27258.5;511.422;1560.12;251.5
362;15.8225;0;27097.5;27259;341.68;981.098;161
405;16.25;0;27107.5;27259;270.88;622.313;151
609;16.25;0;27165;27259;215.589;625.847;93.5
256;21.7188;0;27070;27259.5;457.911;1287.26;189
434;16.1173;0;27115.5;27259.5;312.199;975.847;143.5
285;21.6167;0;27077;27259.5;422.801;912.941;182
167;17.5;0;27045.5;27260.5;388.774;806.863;214.5
375;20;0;27100;27261;370.498;909.729;160.5
459;16.0221;0;27120.5;27261;258;623.899;140
415;16.25;0;27109.5;27261;267.775;657.993;151
29;15.3423;0;27009.5;27261;496.336;1547.96;251
290;16.6985;0;27078.5;27262.5;369.472;804.076;183.5
443;15.3433;0;27117.5;27262.5;296.687;978.194;144.5
417;16.2022;0;27109.5;27263;316.138;973.888;153
356;18.9634;0;27096.5;27264;392.585;914.422;167
441;15.1202;0;27117.5;27264;270.975;662.023;146
465;19.6597;0;27121.5;27264;379.08;1350.78;142
233;15.15;0;27062.5;27264.5;353.766;811.633;201.5
783;15.4231;6.9;27216;27264.5;148.31;620.756;48
494;15.7778;0;27133.5;27265.5;251.298;659.547;131.5
534;20.5524;0;27144;27266;284.332;994.286;121.5
430;18.75;0;27114;27266;347.697;914.713;151.5
364;22.5;-4.72705;27098;27266.5;483.1;1238.16;168
472;15.608;0;27123.5;27266.5;295.578;996.169;142.5
485;18.3464;0;27129.5;27267.5;335.93;914.537;137.5
448;16.15;0;27118.5;27267.5;285.764;662.339;148.5
432;16.5402;0;27115.5;27268;417.65;1475.11;152
79;15.5;0;27023.5;27269;521.385;1482.79;245
699;16.4568;0;27188.5;27269;205.975;660.336;80
561;19.4;0;27151;27270;271.915;979.508;118.5
331;23.5;0;27090.5;27270.5;457.981;1305.2;179.5
168;15.65;0;27046;27270.5;543.691;1854.03;224
164;15.75;0;27045;27270.5;537.517;1849.34;225
593;19.4;0;27160;27272;261.282;979.766;111.5
273;16.25;0;27075;27272;512.999;1849.09;196.5
571;21;0;27153.5;27272.5;304.852;779.616;118.5
622;19.0078;0;27167.5;27273.5;266.818;980.968;105.5
307;16.3448;0;27083.5;27273.5;509.492;1861.44;189.5
213;15;0;27057.5;27273.5;496.351;1849.86;215.5
644;19.25;0;27173;27273.5;259.017;778.061;100
605;15.65;0;27164;27273.5;225.837;862.289;109
343;19.2553;0;27094;27274;429.635;1417.23;179.5
584;19.25;0;27158;27274;263.549;751.42;115.5
253;16.25;-0.256251;27069;27274.5;510.279;1866.85;205
775;16;3.5;27213;27274.5;195.249;858.99;61
753;19.3468;0;27206.5;27275;210.688;767.83;68
617;19.6592;0;27167;27275.5;259.364;771.077;108
650;18.9483;0;27177;27275.5;238.86;774.544;98
580;19.4975;0;27157;27275.5;271.284;778.137;118
387;16.25;0;27104;27276;342.356;905.997;171.5
286;16.25;-0.160347;27077.5;27276;494.867;1846.85;198
877;15.5;5.5;27242.5;27277;117.129;455.604;34
772;19.25;0.651637;27211;27277.5;206.858;782.88;66
633;18.0097;0;27170;27277.5;242.381;768.295;107
518;16.25;0;27140;27278;292.91;686.886;137.5
595;16.25;0;27161.5;27278;262.631;690.96;116
608;15.8202;0;27165;27278.5;255.582;867.325;113
727;16.5;0;27200.5;27279.5;189.29;664.946;78.5
377;16.25;0;27101;27279.5;483.056;1847.07;178
688;18.2045;0;27185.5;27279.5;227.223;773.487;93.5
532;19.3904;0;27144;27279.5;363.069;1409.4;135
640;18;0;27172.5;27279.5;231.136;764.584;106.5
670;15.931;0;27181.5;27280;244.602;695.499;98
409;15.65;0;27108.5;27280;325.956;906.121;171
799;14.3773;0;27222.5;27280.5;142.502;482.754;57.5
645;18.2453;0;27174;27280.5;256.94;766.57;106
718;15.0988;0;27198;27281;208.047;692.134;82.5
765;18.0185;0;27209;27281.5;202.604;779.045;72
697;18.3874;0;27187.5;27281.5;231.666;783.22;93.5
677;16.25;0;27183;27282;247.049;694.844;98.5
768;18.4978;1.19076;27209.5;27282;205.638;768.552;72
