Module,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_maxSpeed,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_minSpeed,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_startTime,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_stopTime,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_totalDistance,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_totalTime
ProvidenciaExampleScenario.node[492].veinsmobility,19.6597,6.9,27151.5,27198,185.957,770.74,46
ProvidenciaExampleScenario.node[357].veinsmobility,15.7353,0,27111.5,27199,187.548,484.939,87
ProvidenciaExampleScenario.node[490].veinsmobility,19.25,5.4,27151,27199,183.519,765.366,47.5
ProvidenciaExampleScenario.node[124].veinsmobility,23.4951,0,27035,27200.5,432.764,1099.69,165
ProvidenciaExampleScenario.node[58].veinsmobility,15,0,27018,27200.5,399.156,1398.41,182
ProvidenciaExampleScenario.node[384].veinsmobility,19.5462,0,27120,27202,245.061,682.268,81.5
ProvidenciaExampleScenario.node[343].veinsmobility,16.1597,0,27108,27202,194.067,499.51,93.5
ProvidenciaExampleScenario.node[463].veinsmobility,16.25,6.9,27142.5,27203,176.586,858.122,60
ProvidenciaExampleScenario.node[224].veinsmobility,19,0,27072,27203.5,344.372,1266.53,131
ProvidenciaExampleScenario.node[153].veinsmobility,19.25,0,27045,27203.5,361.824,992.289,158
ProvidenciaExampleScenario.node[51].veinsmobility,16.25,0,27016.5,27204,470.263,1327.68,187
ProvidenciaExampleScenario.node[65].veinsmobility,16.25,0,27020,27204,467.382,1319.07,183.5
