Module,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_ArrivedAtDest,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_RcvdWarnings,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_SentWarnings
ProvidenciaExampleScenario.node[146].appl,1,29,0
ProvidenciaExampleScenario.node[318].appl,1,3,0
ProvidenciaExampleScenario.node[271].appl,1,0,0
ProvidenciaExampleScenario.node[8].appl,1,30,0
ProvidenciaExampleScenario.node[274].appl,1,19,0
ProvidenciaExampleScenario.node[128].appl,1,1,0
ProvidenciaExampleScenario.node[336].appl,1,2,0
ProvidenciaExampleScenario.node[427].appl,1,12,0
ProvidenciaExampleScenario.node[404].appl,1,2,0
ProvidenciaExampleScenario.node[383].appl,1,14,0
ProvidenciaExampleScenario.node[398].appl,1,3,0
ProvidenciaExampleScenario.node[171].appl,1,12,0
ProvidenciaExampleScenario.node[104].appl,1,27,0
ProvidenciaExampleScenario.node[328].appl,1,2,0
ProvidenciaExampleScenario.node[367].appl,1,10,0
ProvidenciaExampleScenario.node[310].appl,1,18,0
ProvidenciaExampleScenario.node[362].appl,1,2,0
ProvidenciaExampleScenario.node[352].appl,1,1,0
ProvidenciaExampleScenario.node[186].appl,1,20,0
ProvidenciaExampleScenario.node[350].appl,1,2,0
ProvidenciaExampleScenario.node[418].appl,1,2,0
ProvidenciaExampleScenario.node[412].appl,1,3,0
ProvidenciaExampleScenario.node[536].appl,1,3,0
ProvidenciaExampleScenario.node[317].appl,1,0,0
ProvidenciaExampleScenario.node[144].appl,1,32,0
ProvidenciaExampleScenario.node[109].appl,1,26,0
ProvidenciaExampleScenario.node[390].appl,1,19,0
ProvidenciaExampleScenario.node[545].appl,1,2,0
ProvidenciaExampleScenario.node[425].appl,1,11,0
ProvidenciaExampleScenario.node[301].appl,1,0,0
ProvidenciaExampleScenario.node[498].appl,1,8,0
ProvidenciaExampleScenario.node[170].appl,1,30,0
ProvidenciaExampleScenario.node[368].appl,1,2,0
ProvidenciaExampleScenario.node[203].appl,1,21,0
ProvidenciaExampleScenario.node[385].appl,1,2,0
ProvidenciaExampleScenario.node[468].appl,1,0,0
ProvidenciaExampleScenario.node[409].appl,1,0,0
ProvidenciaExampleScenario.node[224].appl,1,25,0
ProvidenciaExampleScenario.node[527].appl,1,3,0
ProvidenciaExampleScenario.node[111].appl,1,23,0
ProvidenciaExampleScenario.node[455].appl,1,0,0
ProvidenciaExampleScenario.node[195].appl,1,0,0
ProvidenciaExampleScenario.node[188].appl,1,0,0
ProvidenciaExampleScenario.node[339].appl,1,14,0
ProvidenciaExampleScenario.node[572].appl,1,2,0
ProvidenciaExampleScenario.node[332].appl,1,0,0
